label,gpu_mem,max_seqs,max_len,max_batched,prefix,chunked,eager,tok_s_1,tok_s_2,tok_s_3,median_tok_s,lat_1,lat_2,lat_3,comp_1,comp_2,comp_3,error
baseline,0.70,16,32768,8192,1,1,0,50.01,55.02,55.03,55.02,10.237639696,9.304443824,9.302389104,512,512,512,
chunked_off,0.70,16,32768,8192,1,0,0,52.04,55.39,55.40,55.39,9.837520506,9.242026598,9.241433101,512,512,512,
prefix_off,0.70,16,32768,8192,0,1,0,50.88,55.88,55.89,55.88,10.060929947,9.161147445,9.160823430,512,512,512,
both_cache_off,0.70,16,32768,8192,0,0,0,52.16,55.65,55.65,55.65,9.815747557,9.199048716,9.199576295,512,512,512,
gpu075_chunked_off,0.75,16,32768,8192,1,0,0,51.82,55.39,55.40,55.39,9.879934615,9.242293356,9.241496075,512,512,512,
gpu080_chunked_off,0.80,16,32768,8192,1,0,0,51.66,55.15,55.23,55.15,9.910796569,9.282551254,9.269101440,512,512,512,
seq8_chunked_off,0.70,8,32768,8192,1,0,0,50.16,54.66,55.14,54.66,10.205308870,9.366866620,9.284605898,512,512,512,
seq32_chunked_off,0.70,32,32768,8192,1,0,0,55.07,55.01,55.02,55.02,9.297071990,9.306030805,9.305331124,512,512,512,
btok4096_chunked_off,0.70,16,32768,4096,1,0,0,50.17,55.10,55.09,55.09,10.205062775,9.290866763,9.293685510,512,512,512,
btok16384_chunked_off,0.70,16,32768,16384,1,0,0,49.44,54.74,54.70,54.70,10.355798834,9.352960610,9.359603423,512,512,512,
len16384_chunked_off,0.70,16,16384,8192,1,0,0,50.31,55.44,55.43,55.43,10.175352180,9.233886155,9.236255178,512,512,512,
len8192_chunked_off,0.70,16,8192,8192,1,0,0,50.42,55.20,55.24,55.20,10.153115008,9.274081200,9.267592987,512,512,512,
best_combo_guess,0.80,8,8192,4096,1,0,0,50.35,55.26,55.23,55.23,10.167968475,9.265128581,9.269401662,512,512,512,
