run_label,gpu_mem,max_seqs,max_len,max_batched,eager,chunked,tok_s_1,tok_s_2,tok_s_3,median_tok_s,elapsed_secs,completion_tokens
baseline,0.70,16,32768,8192,0,1,53.30,53.28,53.33,53.30,9.605937364/9.608304541/9.599954139,512/512/512
gpu_mem=0.65,0.65,16,32768,8192,0,1,53.27,53.32,53.34,53.32,9.609965148/9.600882920/9.598515665,512/512/512
gpu_mem=0.75,0.75,16,32768,8192,0,1,53.24,53.22,53.21,53.22,9.616283046/9.619128135/9.621014265,512/512/512
gpu_mem=0.80,0.80,16,32768,8192,0,1,53.18,53.31,53.27,53.27,9.626649416/9.603425561/9.609902945,512/512/512
gpu_mem=0.85,0.85,16,32768,8192,0,1,53.05,53.24,53.18,53.18,9.649681007/9.616569681/9.626795737,512/512/512
gpu_mem=0.90,0.90,16,32768,8192,0,1,53.05,53.03,52.98,53.03,9.650598865/9.653121414/9.663060141,512/512/512
seqs=8,0.70,8,32768,8192,0,1,52.88,53.01,52.78,52.88,9.680752800/9.657801483/9.699030893,512/512/512
seqs=32,0.70,32,32768,8192,0,1,52.79,52.99,52.67,52.79,9.698352037/9.662046001/9.720212306,512/512/512
seqs=64,0.70,64,32768,8192,0,1,53.02,53.08,53.10,53.08,9.656169882/9.645070553/9.641615393,512/512/512
len=16384,0.70,16,16384,8192,0,1,53.14,53.11,53.08,53.11,9.633346137/9.639929169/9.644902558,512/512/512
len=65536,0.70,16,65536,8192,0,1,53.15,52.88,53.13,53.13,9.631619802/9.680471589/9.636388664,512/512/512
batched=4096,0.70,16,32768,4096,0,1,53.16,53.12,53.08,53.12,9.630063920/9.637302679/9.644325454,512/512/512
batched=16384,0.70,16,32768,16384,0,1,53.10,53.19,53.16,53.16,9.642071913/9.625625670/9.631293745,512/512/512
batched=32768,0.70,16,32768,32768,0,1,52.99,52.96,53.05,52.99,9.660795870/9.667237154/9.650258116,512/512/512
eager=1,0.70,16,32768,8192,1,1,35.87,36.08,36.09,36.08
chunked=0,0.70,16,32768,8192,0,0,53.43,53.40,53.41,53.41
best_combo,0.80,32,32768,8192,0,1,53.37,53.36,53.36,53.36
